layerSize,device,timestamp,value
8,1,10048.2,4226.6845703125
8,1,10061.4,3851.8905639648438
8,1,10066.9,4196.1669921875
8,1,10070.5,3864.288330078125
8,1,10071.5,4196.1669921875
8,1,10074.1,3855.7052612304688
8,1,10076.5,4180.908203125
8,1,10079.1,3841.400146484375
8,1,10111.3,4180.908203125
8,1,10111.9,3853.7979125976562
8,1,10123.5,4226.6845703125
8,1,10146.7,3839.4927978515625
8,1,10184.9,4196.1669921875
8,1,10190.6,3861.4273071289062
8,1,10207.7,4165.6494140625
8,1,10207.8,3864.288330078125
8,1,10214.8,4180.908203125
8,1,10227.9,3860.4736328125
8,1,10228.4,4196.1669921875
8,1,10230.5,3867.1493530273438
8,1,10236.4,4196.1669921875
8,1,10257.8,3848.0758666992188
8,1,10258.2,4196.1669921875
8,1,10259.8,3833.770751953125
8,1,10285.9,4226.6845703125
8,1,10294.6,3841.400146484375
8,1,10305.7,4272.4609375
8,1,10327.1,3829.9560546875
8,1,10344.2,4196.1669921875
8,1,10371.1,3820.4193115234375
8,1,10373.0,4211.42578125
8,1,10387.2,3860.4736328125
8,1,10418.5,4165.6494140625
8,1,10418.6,3848.0758666992188
8,1,10420.5,4226.6845703125
8,1,10421.1,3853.7979125976562
8,1,10422.5,4241.943359375
8,1,10439.2,3836.6317749023438
8,1,10450.8,4196.1669921875
8,1,10457.4,3851.8905639648438
8,1,10460.9,4196.1669921875
8,1,10466.5,3862.3809814453125
8,1,10488.6,4196.1669921875
